0x18ce	0x18d8
0x1fac	0x20b1
0x20ed	0x225f
0x2311	0x23b3
0x23fc	0x2457
0x245b	0x281f
0x2c75	0x2c83
0x2c8e	0x2ca1
0x2caa	0x2d4f
0x3373	0x348d
