0xdc
0x145
0x177
0x183
0x208
0x21f
0x22b
0x290
0x2e7
0x316
0x32c
0x389
0x39b
0x411
0x41d
0x482
0x48e
0x4d3
0x4df
0x564
0x5ee
0x5ff
0x614
0x636
0x641
0x708
0x713
0x7ae
0x7c2
0x7ca
0x7f3
0x852
0x8fe
0x919
0x946
0x965
0x979
0x98b
0x996
0xa31
0xa45
0xa55
0xa69
0xa6c
0xaf6
0xb07
0xb1c
0xb36
0xb72
0xc5e
0xc65
0xc6c
0xc73
0xc7a
0xc8a
0xc91
0xc98
