0xfc	0x103
0xff	0x5cd
0x13a	0x141
0x15c	0x163
0x16a	0x172
0x173	0x623
0x185	0x364
0x19e	0x1a6
0x1a7	0x1ae
0x1aa	0x381
0x1c9	0x1d1
0x1d2	0x654
0x1d5	0x38a
0x1dc	0x1e4
0x1e5	0x685
0x1fa	0x390
0x201	0x209
0x20a	0x6b6
0x20d	0x3ad
0x214	0x21c
0x21d	0x6e7
0x220	0x3b3
0x23b	0x243
0x244	0x71a
0x247	0x3d4
0x26a	0x272
0x273	0x755
0x276	0x3e3
0x27d	0x285
0x286	0x790
0x289	0x3f2
0x290	0x298
0x299	0x7c1
0x2a3	0x2ab
0x2ac	0x7fc
0x2af	0x3f8
0x2b6	0x2be
0x2bf	0x837
0x2d1	0x407
0x2d8	0x2e0
0x2e1	0x86a
0x2e4	0x427
0x2eb	0x2f3
0x2f4	0x89b
0x303	0x42d
0x30c	0x314
0x315	0x8bc
0x318	0x4fa
0x31f	0x327
0x328	0x8dd
0x32b	0x5a9
0x332	0x33a
0x33b	0x918
0x33e	0x5b8
0x345	0x34d
0x34e	0x953
0x351	0x5c7
0x440	0x448
0x45b	0x463
0x470	0x478
0x50d	0x515
0x524	0x52c
0x533	0x53b
0x965	0x98b
0x967	0x98e
0x969	0x991
0x96b	0x994
0x96d	0x997
0x96f	0x99a
0x971	0x99d
0x973	0x9a0
0x975	0x9a3
0x977	0x9a6
0x979	0x9a9
0x97b	0x9ac
0x97d	0x9af
0x97f	0x9b2
0x981	0x9b5
0x983	0x9b8
0x985	0x9bb
0x987	0x9be
0x989	0x9c1
