0xfb	0x5cd	0x103	0x103
0x103	0x355	0x141	0x141
0x172	0x364	0x189	0x189
0x1a6	0x381	0x1ae	0x1ae
0x1d1	0x38a	0x189	0x189
0x1e4	0x390	0x189	0x189
0x209	0x3ad	0x189	0x189
0x21c	0x3b3	0x224	0x224
0x243	0x3d4	0x24b	0x24b
0x272	0x3e3	0x24b	0x24b
0x285	0x3f2	0x189	0x189
0x298	0x355	0x24b	0x24b
0x2ab	0x3f8	0x24b	0x24b
0x2be	0x407	0x224	0x224
0x2e0	0x427	0x189	0x189
0x2f3	0x42d	0x307	0x307
0x314	0x4fa	0x307	0x307
0x327	0x5a9	0x24b	0x24b
0x33a	0x5b8	0x24b	0x24b
0x34d	0x5c7	0x189	0x189
