0xfb	0x00000000
0x167	0x19774d43
0x19b	0x1bff4786
0x1c6	0x3cf52ffb
0x1d9	0x508493bc
0x1fe	0x55ce76e6
0x211	0x5bd948b1
0x238	0x5d4d061e
0x267	0x65e17c9d
0x27a	0x8e1e2add
0x28d	0xaaf10f42
0x2a0	0xbb057c5e
0x2b3	0xbb5f4629
0x2d5	0xc281309e
0x2e8	0xc915fc93
0x309	0xd55ec697
0x31c	0xd67a10e3
0x32f	0xf851a440
0x342	0xfe26f16f
