0x1b6	0x00000000
0x1bb	0xe14a376
0x1d5	0x174a6277
0x214	0x20888158
0x249	0x22b96b63
0x2f0	0x257781e7
0x308	0x2b42a89a
0x322	0x2c62ff2d
0x33a	0x2e28d084
0x35e	0x3e49bed0
0x379	0x4e71e0c8
0x38e	0x5b2a372d
0x3b2	0x616b59f6
0x3ca	0x61a2d076
0x3df	0x6556f767
0x403	0x6bfc8bb5
0x427	0x6d4e7802
0x448	0x6e899550
0x46c	0x715018a6
0x481	0x71658552
0x4a5	0x7ac4ed64
0x4ec	0x8ae44a08
0x50d	0x8c160095
0x525	0x8da5cb5b
0x556	0x95ee8bae
0x57a	0x9d74b37d
0x5b9	0xa2b6cbe1
0x5d1	0xabfdcced
0x5ee	0xac0aeb1a
0x60f	0xca446dd9
0x633	0xe2a4853a
0x64e	0xe2b202bf
0x666	0xe30c3978
0x67b	0xe318de73
0x69f	0xf2fde38b
0x6c0	0xf6bb3cc4
