0x0	__function_selector__
0x1b6	()
0x1b6	fallback()
0x1bb	deleteAddress(bytes32)
0x1d5	getTxDataBlockNumber(address,bytes32)
0x214	isAllowedFactProvider(address)
0x249	getIPFSHash(address,bytes32)
0x2f0	deleteIPFSHash(bytes32)
0x308	setWhitelistOnlyPermission(bool)
0x322	deleteBool(bytes32)
0x33a	setBytes(bytes32,bytes)
0x35e	setInt(bytes32,int256)
0x379	claimOwnership()
0x38e	setTxDataBlockNumber(bytes32,bytes)
0x3b2	deleteBytes(bytes32)
0x3ca	isWhitelistOnlyPermissionSet()
0x3df	getBytes(address,bytes32)
0x403	setIPFSHash(bytes32,string)
0x427	removeFactProviderFromWhitelist(address)
0x448	setString(bytes32,string)
0x46c	renounceOwnership()
0x481	getUint(address,bytes32)
0x4a5	getAddress(address,bytes32)
0x4ec	isFactProviderInWhitelist(address)
0x50d	deleteInt(bytes32)
0x525	owner()
0x556	getInt(address,bytes32)
0x57a	getBool(address,bytes32)
0x5b9	deleteTxDataBlockNumber(bytes32)
0x5d1	setBool(bytes32,bool)
0x5ee	addFactProviderToWhitelist(address)
0x60f	setAddress(bytes32,address)
0x633	setUint(bytes32,uint256)
0x64e	deleteUint(bytes32)
0x666	pendingOwner()
0x67b	getString(address,bytes32)
0x69f	transferOwnership(address)
0x6c0	deleteString(bytes32)
0x6d8	0x6d8
0x6e4	0x6e4
0x6fc	0x6fc
0x752	0x752
0x760	0x760
0x7c2	0x7c2
0x7cb	0x7cb
0x80a	0x80a
0x818	0x818
0x923	0x923
0x92c	0x92c
0x936	0x936
0x944	0x944
0x9e3	0x9e3
0xa1d	0xa1d
0xa80	0xa80
0xa8d	0xa8d
0xab8	0xab8
0xac1	0xac1
0xad0	0xad0
0xadd	0xadd
0xb51	0xb51
0xbc3	0xbc3
0xbcd	0xbcd
0xbd7	0xbd7
0xbe0	0xbe0
0xbea	0xbea
0xbf8	0xbf8
0xc1d	0xc1d
0xccd	0xccd
0xcf2	0xcf2
0xfb2	0xfb2
0xfd7	0xfd7
0xffb	0xffb
0x1095	0x1095
0x15b6	0x15b6
0x16b8	0x16b8
0x16fc	0x16fc
0x177a	0x177a
