0xbb3	0xbcb	0
0x147a	0x1488	-32
0x1e36	0x1efdS0x87b	0
0x1e36	0x1eddS0x87b	32
0x1e36	0x1eecS0x87b	44
0x1e36	0x1f81	76
0x1e36	0x1f1cS0x87b	76
0x1e36	0x1f61	108
0x1e36	0x1f70	120
0x1e80	0x1efdS0x87b	0
0x1e80	0x1eddS0x87b	32
0x1e80	0x1eecS0x87b	44
0x1e80	0x1f81	76
0x1e80	0x1f1cS0x87b	76
0x1e80	0x1f61	108
0x1e80	0x1f70	120
0x1f88	0x1f81	-76
0x1f88	0x1f61	-44
0x1f88	0x1f70	-32
0x1f88	0x8ab	0
0x1f88	0x202bS0x891	0
0x1f88	0x2044S0x891	4
0x1f88	0x8b2	32
0x1f88	0x204aS0x891	36
0x1fd2	0x8ab	0
0x1fd2	0x202bS0x891	0
0x1fd2	0x2044S0x891	4
0x1fd2	0x8b2	32
0x1fd2	0x204aS0x891	36
0x24b9	0x2559	0
0x24b9	0x2547	32
0x24b9	0x254f	49
0x2503	0x2559	0
0x2503	0x2547	32
0x2503	0x254f	49
0x269c	0x26b4	0
0x27a1	0x277b	-132
0x27a1	0x301eS0x284e	-132
0x27a1	0x2794	-128
0x27a1	0x2ffeS0x284e	-100
0x27a1	0x27a6	-96
0x27a1	0x300dS0x284e	-88
0x27a1	0x279e	-64
0x27a1	0x30a1	-56
0x27a1	0x303dS0x284e	-56
0x27a1	0x27ac	-32
0x27a1	0x3081	-24
0x27a1	0x3090	-8
0x27a1	0x27fd	64
0x30a8	0x30a1	-80
0x30a8	0x3081	-48
0x30a8	0x3090	-32
0x30a8	0x286d	0
0x30f2	0x286d	0
0x1f04V0x87b	0x1efdS0x87b	-76
0x1f04V0x87b	0x1eddS0x87b	-44
0x1f04V0x87b	0x1eecS0x87b	-32
0x1f04V0x87b	0x1f81	0
0x1f04V0x87b	0x1f1cS0x87b	0
0x1f04V0x87b	0x1f61	32
0x1f04V0x87b	0x1f70	44
0x1f04V0x87b	0x8ab	76
0x1f04V0x87b	0x202bS0x891	76
0x1f04V0x87b	0x2044S0x891	80
0x1f04V0x87b	0x8b2	108
0x1f04V0x87b	0x204aS0x891	112
0x1eac0x9b4V0x87b	0x1f81	0
0x1eac0x9b4V0x87b	0x1f61	32
0x1eac0x9b4V0x87b	0x1f70	44
0x1eac0x9b4V0x87b	0x8ab	76
0x1eac0x9b4V0x87b	0x202bS0x891	76
0x1eac0x9b4V0x87b	0x2044S0x891	80
0x1eac0x9b4V0x87b	0x8b2	108
0x1eac0x9b4V0x87b	0x204aS0x891	112
0x3025V0x284e	0x301eS0x284e	-76
0x3025V0x284e	0x2ffeS0x284e	-44
0x3025V0x284e	0x300dS0x284e	-32
0x3025V0x284e	0x30a1	0
0x3025V0x284e	0x303dS0x284e	0
0x3025V0x284e	0x3081	32
0x3025V0x284e	0x3090	48
0x3025V0x284e	0x286d	80
0x2fce0x1c9aV0x284e	0x30a1	0
0x2fce0x1c9aV0x284e	0x3081	32
0x2fce0x1c9aV0x284e	0x3090	48
0x2fce0x1c9aV0x284e	0x286d	80
0x1263V0x466	0x123dS0x466	-132
0x1263V0x466	0x1256S0x466	-128
0x1263V0x466	0x1268S0x466	-96
0x1263V0x466	0x1260S0x466	-64
0x1263V0x466	0x126eS0x466	-32
0x1263V0x466	0x12bfS0x466	32
0x171eV0x56a	0x1722S0x56a	-32
0x171eV0x56a	0x1770S0x56a	0
0x171eV0x56a	0x382d	4
0x171eV0x56a	0x17c2S0x56a	4
0x171eV0x56a	0x1805S0x56a	4
0x171eV0x56a	0x2a850x2939S0x189cS0x56a	4
0x171eV0x56a	0x2a850x2a96S0x18a5S0x56a	4
0x1772V0x56a	0x1722S0x56a	-36
0x1772V0x56a	0x1770S0x56a	-4
0x1772V0x56a	0x382d	0
0x1772V0x56a	0x17c2S0x56a	0
0x1772V0x56a	0x1805S0x56a	0
0x1772V0x56a	0x2a850x2939S0x189cS0x56a	0
0x1772V0x56a	0x2a850x2a96S0x18a5S0x56a	0
0x17d1V0x56a	0x382d	0
0x17d1V0x56a	0x1805S0x56a	0
0x17d1V0x56a	0x2a850x2939S0x189cS0x56a	0
0x17d1V0x56a	0x2a850x2a96S0x18a5S0x56a	0
0x17b1V0x56a	0x17c2S0x56a	0
0x229fV0xef6V0x418	0x230cS0x418	0
0x229fV0xef6V0x418	0x237fS0x418	0
0x229fV0xef6V0x418	0x22b7S0xef6S0x418	0
0x229fV0xef6V0x418	0x2325S0x418	4
0x229fV0xef6V0x418	0x232bS0x418	36
0x22440x1c9aV0xef6V0x418	0x230cS0x418	0
0x22440x1c9aV0xef6V0x418	0x237fS0x418	0
0x22440x1c9aV0xef6V0x418	0x2325S0x418	4
0x22440x1c9aV0xef6V0x418	0x232bS0x418	36
0x3318V0x2dc5V0x219eV0xd73V0x38e	0x31d8S0x2dc5S0x219eS0xd73S0x38e	33
