0xa25	0xa27
0xb8	0x269
0x10c	0x3c6
0xa28	0x67
0xa2b	0x90
0xa2e	0xac
0xa31	0xd7
0xa34	0x100
0x12b0x0	0x431
0x12b0x269	0x431
0x12b0x3c6	0x431
0x12b0xa27	0x431
0x181B0x89	0x539
0x12b0x145B0x89	0x431
0x1d6B0xa5	0x539
0x12b0x19aB0xa5	0x431
0x12b0x2c1B0xf9	0x431
