0x103c	0x11a3
0x31ee	0x31ee
0x31f4	0x33a2
0x381e	0x3951
0x3cda	0x3d0a
0x31f4	0x49ca
0x35c5	0x4a11
0x35c5	0x4a36
0x35c5	0x4b8d
0x35c5	0x4bb7
0x3ab2	0x4cdc
0x3ab2	0x4d00
0x3b63	0x4d24
0x3cda	0x4d72
0x3d13	0x4d99
0x3d5e	0x4dbc
0x3dbf	0x4ddf
0x3dd9	0x4e24
0x3509	0x35650x3509
0x356b	0x35650x356b
0x373a	0x35650x373a
0x377c	0x35650x377c
0x37be	0x38180x37be
0x3509	0x49ec0x3509
