0xbb8	0xbba
0xbf4	0x520
0xbf7	0x536
0xbfa	0x556
0xbeb	0x4b3
0xbee	0x4e0
0xbf1	0x500
0xbe2	0x431
0xbe5	0x45e
0xbe8	0x493
0xbdc	0x3e1
0xbdf	0x401
0xbd3	0x377
0xbd6	0x3ab
0xbd9	0x3c1
0xbca	0x320
0xbcd	0x335
0xbd0	0x34a
0xbc1	0x2b2
0xbc4	0x2c9
0xbc7	0x2f6
0xbbb	0x23a
0xbbe	0x27a
