0x1ef	0x94f	0x213	0x213
0x246	0x92b	0x255	0x267
0x246	0x92b	0x267	0x267
0x2be	0x58a	0x2c7	0x2c7
0x2d5	0x92b	0x267	0x267
0x2d5	0x92b	0x2e4	0x267
0x32c	0x608	0x2c7	0x2c7
0x341	0x6ab	0x2c7	0x2c7
0x356	0x92b	0x267	0x267
0x356	0x92b	0x365	0x267
0x40d	0x92b	0x310	0x310
0x40d	0x92b	0x41c	0x310
0x43d	0x92b	0x267	0x267
0x43d	0x92b	0x44c	0x267
0x46a	0x96c	0x479	0x47e
0x46a	0x96c	0x47e	0x47e
0x4bf	0x92b	0x267	0x267
0x4bf	0x92b	0x4ce	0x267
0x4ec	0x92b	0x2c7	0x2c7
0x4ec	0x92b	0x4fb	0x2c7
0x542	0x92b	0x2c7	0x2c7
0x542	0x92b	0x551	0x2c7
0x93d	0x985	0x948	0x948
0x961	0x985	0x948	0x948
