0x23a	0x13eba92
0x27a	0xc340a24
0x2b2	0x23452b9c
0x2c9	0x42e94c90
0x2f6	0x5c975abb
0x320	0x715018a6
0x335	0x79ba5097
0x34a	0x7b0e5f56
0x377	0x7d73b231
0x3ab	0x865909f6
0x3c1	0x8da5cb5b
0x3e1	0x8f32d59b
0x401	0x9c8d83bb
0x431	0xb2dd5c07
0x45e	0xc6b61e4c
0x493	0xc7af3352
0x4b3	0xc884ef83
0x4e0	0xe4c0aaf4
0x500	0xed459df2
0x520	0xeea4a0a3
0x536	0xf2fde38b
0x556	0xfaff50a8
0xbba	0x00000000
