0xdda
0xddf
0x1d7b
0x1dac
0x1e54
0x1e85
0xbc30x51d
0xbc80x51d
0xf430x67c
0xf480x67c
0xf430x871
0xf480x871
0x2111S0x1b57
0x20e5S0x1b57
0x1f9fS0x1b40
0x1f73S0x1b40
0xbc3S0xd97S0x585
0xbc8S0xd97S0x585
