0x11d2	0x1206
0x165c	0x1672
0x16cc	0x18a9
0x18ae	0x1942
0x1bde	0x1bde
0x1d16	0x1edf
0x1f09	0x206c
0x2073	0x21c8
0xd97	0x303c
0x15c0	0x319c
0x31bd	0x31bd
0x165c	0x3205
0x16cc	0x324e
0x16cc	0x32bb
0x16cc	0x3328
0x194a	0x33ba
0x344d	0x344d
0x1b40	0x3470
0x1b57	0x3493
0x1c7b	0x34b6
0x1c7b	0x34db
0x1cd4	0x3501
0x1d16	0x3527
0x1d16	0x35b9
0x1447	0x152a0x1447
0xbaf	0x2fcf0xbaf
0x1447	0x31550x1447
0x1683	0x32280x1683
0x19a4	0x33e00x19a4
0x19a4	0x34280x19a4
