0x2107S0x1b57
0x210bS0x1b57
0x218cS0x1b57
0x20e3S0x1b57
0x216eS0x1b57
0x217cS0x1b57
0x1f95S0x1b40
0x1f99S0x1b40
0x201aS0x1b40
0x1f71S0x1b40
0x1ffcS0x1b40
0x200aS0x1b40
