0x13c	0x6a3fe59
0x180	0x1dac133e
0x197	0x3f813318
0x1aa	0x476062a4
0x1d1	0x4db4a352
0x1f8	0x516c83a5
0x20b	0x5fbc88a3
0x295	0x61d31c2c
0x2aa	0x6605dfa7
0x2d1	0x71bc59db
0x2e4	0x735de9f7
0x30b	0x7e9fd222
0x31e	0x7f05f8c2
0x331	0x937d4c42
0x359	0xa3f5c1d2
0x380	0xb350df5d
0x393	0xb9589ceb
0x39b	0xcab56c35
0x3bb	0xd5040a0e
0x3c3	0xd55ec697
0x3cb	0xf528ffe5
0x3715	0x00000000
