0x3f	0xdb
0x8	0x11
0x2a	0x34
0x3a	0x44
0x48	0xbb
0x5d	0x68
0x63	0x236
0x7e	0xa5
0xa0	0xaa
0xb0	0xb9
0xbd	0xc4
0xc5	0xcf
0xca	0x13d
0xd6	0x2fd
0xdc	0xf1
0xef	0x161
0xf2	0x119
0x106	0x110
0x10b	0x254
0x23b	0x24a
0x2d3V0x236	0x2deB0x236
0x2b9V0x236	0x2ceB0x236
0x2c9V0x236	0x2b4B0x236
0x174V0x11	0x17cB0x11
0x17fV0x11	0x189B0x11
0x192V0x11	0x19cB0x11
0x1b1V0x11	0x1b9B0x11
0x1c5V0x11	0x1cdB0x11
0x1d4V0x11	0x1dcB0x11
0x1f5V0x11	0x1fdB0x11
0x20dV0x11	0x215B0x11
0x216V0x11	0x228B0x11
0x2f1V0x17cV0x11	0x2faB0x17cB0x11
0x2f1V0x189V0x11	0x2faB0x189B0x11
0x2d3V0x215V0x11	0x2deB0x215B0x11
0x2b9V0x215V0x11	0x2ceB0x215B0x11
0x2c9V0x215V0x11	0x2b4B0x215B0x11
