0xd
0x11
0x25
0x41
0x51
0x61
0x70
0x7d
0x97
0xba
0xd3
0xfc
0x15d
0x160
0x193
0x1a8
0x1b9
0x1dd
0x1f2
0x1fb
0x211
0x240
0x259
0x25b
0x277
0x285
0x28d
0x2a7
0x2af
0x2c7
0x2df
0x2f7
0x30f
0x327
0x33f
0x341
0x347
0x376
0x394
0x3aa
0x3c0
0x3d5
0x3f3
0x409
0x41b
0x41d
0x45b
0x468
0x494
0x4a1
0x4e0
0x52c
0x53e
0x55a
0x560
0x585
0x61c
0x637
0x639
