0x10e	0x7b3cec5
0x130	0x900f010
0x150	0x2bd83e52
0x170	0x34d4ef77
0x190	0x4585e33b
0x1b0	0x5cd8d064
0x1e6	0x6e04ff0d
0x214	0x75829def
0x234	0x78400f17
0x254	0x92f04a39
0x269	0xa0ef91df
0x27e	0xa619486e
0x293	0xacb5fedf
0x2a8	0xbcaef756
0x2cb	0xc6fb1853
0x2eb	0xd9a5b4d8
0x30b	0xf851a440
0x1243	0x00000000
