0xc4	0x4dd
0x1d5	0x68c
0x2ed	0xb30
0xce8	0xaf
0xceb	0xb9
0xcee	0x147
0xcf1	0x1a1
0xcf4	0x1ca
0xcf7	0x243
0xcfa	0x266
0xcfd	0x295
0xd00	0x2e2
0xd03	0x370
0xd06	0x3ca
0xd09	0x3d4
0xbceB0x37b	0x68c
