0x1df	0x423c7de
0x1fd	0x6fdde03
0x212	0x95ea7b3
0x232	0x18160ddd
0x23a	0x1e9a6950
0x24f	0x23b872dd
0x262	0x2f310bad
0x277	0x313ce567
0x28c	0x39509351
0x29f	0x67e8ec0c
0x2a7	0x70a08231
0x2ba	0x715018a6
0x2c2	0x71c5ecb1
0x2d5	0x845762ab
0x2dd	0x892d7fc3
0x2f0	0x8da5cb5b
0x2f8	0x95d89b41
0x300	0x9dd509cb
0x313	0xa0051185
0x326	0xa457c2d7
0x339	0xa9059cbb
0x34c	0xc45a0155
0x354	0xcf3dc76b
0x367	0xd0e4fe8f
0x37c	0xdd62ed3e
0x38f	0xeddb0e26
0x3a2	0xf2fde38b
0x3b5	0xf3299694
0x3bd	0xf698da25
0x3c5	0xf7982243
0x3419	0x00000000
