0x0	__function_selector__
0x124	()
0x124	fallback()
0x129	erc20token()
0x15a	relayedMessages(bytes32)
0x186	executeSignatures(uint8[],bytes32[],bytes32[],bytes)
0x1cc	totalSpentPerDay(uint256)
0x1f6	isInitialized()
0x20b	getCurrentDay()
0x220	requiredBlockConfirmations()
0x235	getBridgeMode()
0x27f	dailyLimit()
0x294	claimTokens(address,address)
0x2bb	requiredSignatures()
0x2d0	validatorContract()
0x2e5	deployedAtBlock()
0x2fa	getBridgeInterfacesVersion()
0x33b	setMinPerTx(uint256)
0x353	setRequiredBlockConfirmations(uint256)
0x36b	setDailyLimit(uint256)
0x383	setGasPrice(uint256)
0x39b	setMaxPerTx(uint256)
0x3b3	minPerTx()
0x3c8	withinLimit(uint256)
0x3e0	initialize(address,address,uint256,uint256)
0x40d	maxPerTx()
0x422	gasPrice()
0x437	0x437
0x4f5	0x4f5
0x778	0x778
0x835	0x835
0x8ed	0x8ed
0x8f6	0x8f6
0xa4d	0xa4d
0xac0	0xac0
0xbeb	0xbeb
0xc5f	0xc5f
0xd0a	0xd0a
0x12c5	0x12c5
0x13cf	0x13cf
0x1442	0x1442
0x149f	0x149f
0x1934	0x1934
0x19a7	0x19a7
0x1a1a	0x1a1a
0x1e3e	0x1e3e
0x2063	0x2063
0x2230	0x2230
0x2409	0x2409
