0x4f5	0x57a
0x778	0x7f4
0x835	0x8aa
0x8ed	0x8ed
0xac0	0xb6f
0x1442	0x1498
0x149f	0x192b
0x1a1a	0x1c7b
0x2230	0x223a
0x2409	0x2458
0x1e3e	0x2882
0x1e3e	0x28a7
0x437	0x4ac0x437
0xbeb	0x4ac0xbeb
0x8f6	0x96a0x8f6
0xa4d	0x96a0xa4d
0xc5f	0x96a0xc5f
0x13cf	0x96a0x13cf
0x1934	0x96a0x1934
0x19a7	0x96a0x19a7
0xd0a	0xe290xd0a
0x12c5	0xe290x12c5
0x2063	0x20760x2063
0x2409	0x20760x2409
