0xa15	0xb0d
0xce6	0xd98
0x11bc	0x11dc
0x11df	0x128c
0x4fa	0x1751
0x4fa	0x1778
0xb15	0x179f
0xb15	0x17c6
0xf11	0x17ed
0xf11	0x1814
0x4fa	0x5800x4fa
0xb15	0x5800xb15
0xf11	0x5800xf11
0x588	0x6820x588
0xb7e	0x6820xb7e
0xf6c	0x6820xf6c
0x105c	0x6820x105c
0x112c	0x6820x112c
