0x164	0x4fa
0x2fe	0xb15
0x39e	0xce6
0x41f	0xf11
0x8ac	0xce6
0x1852	0x153
0x1855	0x158
0x1858	0x1e2
0x185b	0x21a
0x185e	0x241
0x1861	0x26b
0x1864	0x296
0x1867	0x2b7
0x186a	0x2ce
0x186d	0x2f2
0x1870	0x307
0x1873	0x31c
0x1876	0x340
0x1879	0x361
0x187c	0x392
0x187f	0x3b3
0x1882	0x3c8
0x1885	0x3dd
0x1888	0x3f2
0x188b	0x413
0x188e	0x428
0x1891	0x44c
0x1894	0x461
0x1897	0x476
0x189a	0x49a
0x189d	0x4c1
0x18a0	0x4e2
