0x70d	totalSupply(address)
0x816	transferFrom(address,address,address,uint256)
0x92b	transfer(address,uint256)
0xd71	balanceOf(address,address)
0x65b0x588S0x1ee	approve(address,address,uint256)
0xafcS0x2da	mint(address,address,uint256)
0x65b0xb7eS0x328	decreaseApproval(address,address,uint256)
0x65b0xf6cS0x434	transfer(address,address,uint256)
0x65b0x105cS0x482	increaseApproval(address,address,uint256)
0x65b0x112cS0x4a6	allowance(address,address,address)
0x127bS0x4ee	setTotalSupply(address,uint256)
