0x40	0xffffffffffffffffffffffff
0x0	0xc0
0x3f	0x1000000000000000000000000
0x2	0x40
0x5	0x0
0xc	0x15
0x11	0x0
0x17	0x40
0x1a	0x1e71
0x21	0x1e71
0x29	0x40
0x2e	0x38
0x33	0x58
0x39	0x1
0x3b	0x1
0x3d	0x60
0x41	0xffffffffffffffffffffffffffffffffffffffff000000000000000000000000
0x42	0x60
0x49	0x80
0x50	0xa0
0x53	0xaf
0xb0	0x80
0xb3	0x60
0xb6	0xa0
0xb9	0x60
0xbc	0x1d75
0xbf	0xfc
0xc3	0x0
0xc7	0x305
0xcc	0x9a8
0xd1	0xa27
0xd6	0xa4b
0xdb	0xe49
0xe1	0x442
0xe6	0x58d
0xeb	0xaf0
0xf0	0xb59
0xf5	0x1d75
0xf8	0x0
0x59V0x15	0x0
0x5cV0x15	0x40
0x63V0x15	0x6b
0x6eV0x15	0x78
0x73V0x15	0x96
0x79V0x15	0x20
0x81V0x15	0x8b
0x86V0x15	0x96
0xa8V0x6bV0x15	0x0
0x97V0x6bV0x15	0x1
0x99V0x6bV0x15	0x1
0x9bV0x6bV0x15	0xa0
0x9dV0x6bV0x15	0x10000000000000000000000000000000000000000
0x9eV0x6bV0x15	0xffffffffffffffffffffffffffffffffffffffff
0xa3V0x6bV0x15	0xac
0xa8V0x78V0x15	0x0
0x97V0x78V0x15	0x1
0x99V0x78V0x15	0x1
0x9bV0x78V0x15	0xa0
0x9dV0x78V0x15	0x10000000000000000000000000000000000000000
0x9eV0x78V0x15	0xffffffffffffffffffffffffffffffffffffffff
0xa3V0x78V0x15	0xac
