0xdad
0xecd
0xed9
0x10b1
0x10d7
0x10e4
0x1c7f
0x1c8c
0x1dc9
0x1f3b
0x22e2
0x243b
0x25c5
0x2e09
0x2f3a
0x2f5e
0x2f7a
0x301a
