0xd3c	0xd3e
0xd48	0x1ce
0xd4b	0x21f
0xd4e	0x31a
0xd51	0x3f5
0xd3f	0x8d
0xd42	0xde
0xd45	0x177
0x8ff0x31a	0xbd7
0xb59B0x4d3	0xbd7
0xb59B0x528	0xbd7
0x8ff0x855B0x7d3	0xbd7
