0xaed	withdrawAllToFund()
0xec5	withdrawToFund(uint256)
0x1f7b	fund()
0x2454	allowance(address,address)
0x2892	balanceOf(address)
0x2cc3	investedUnderlyingBalance()
0x2d63	investedUnderlyingBalance()
0x2e28	creator()
0x36a2	investedUnderlyingBalance()
0x337e0x2c3e	investedUnderlyingBalance()
0x332d0x2c3e	doHardWork()
0x186aS0x646	balanceOf(address)
0x3142S0x119c	investedUnderlyingBalance()
0x31d3S0x119c	withdrawToFund(uint256)
0x1442S0x555	decimals()
