0xfb	0x00000000
0xfd	0x11c67c52
0x166	0x13af4035
0x187	0x23aa7e12
0x1b8	0x25e16063
0x1d9	0x3b22f35f
0x203	0x3f579f42
0x26c	0x57acc118
0x28d	0x59c3f7f0
0x2a5	0x806ad57e
0x2c6	0x81427e45
0x329	0x8da5cb5b
0x33e	0x9456fbcc
0x365	0xaa156645
0x386	0xc4f987a5
0x3a7	0xcb3eef2c
0x40c	0xd264e05e
0x421	0xd273285b
0x436	0xfa34b345
