0x206	0x829	0x21e	0x21e
0x22c	0x838	0x21e	0x21e
0x250	0x955	0x265	0x265
0x283	0xa18	0x21e	0x21e
0x29b	0xdc7	0x21e	0x21e
0x2bc	0xdef	0x2d4	0x2d4
0x2f4	0xe66	0x21e	0x21e
0x31e	0xed2	0x265	0x265
0x33f	0xf53	0x265	0x265
0x360	0xfdb	0x2d4	0x2d4
0x381	0xfee	0x21e	0x21e
0x3a5	0x112d	0x2d4	0x2d4
0x3dd	0x12ff	0x2d4	0x2d4
0x3f2	0x132c	0x2d4	0x2d4
0x416	0x1382	0x265	0x265
0x42b	0x138b	0x265	0x265
0x44c	0x140c	0x455	0x455
0x47e	0x141a	0x2d4	0x2d4
0x496	0x14d5	0x21e	0x21e
0x4bd	0x1584	0x21e	0x21e
0x4de	0x15a9	0x265	0x265
0x4ff	0x1602	0x21e	0x21e
0x523	0x173f	0x265	0x265
0x544	0x17c0	0x54d	0x54d
0x575	0x17f3	0x54d	0x54d
0x58a	0x1826	0x21e	0x21e
0x5a2	0x1b4c	0x5ab	0x5ab
0x5e3	0x1b57	0x265	0x265
0x604	0x1bd8	0x2d4	0x2d4
0x66d	0x1c04	0x265	0x265
0x691	0x1cce	0x21e	0x21e
0x6bb	0x1cd9	0x21e	0x21e
0x6dc	0x1cfe	0x265	0x265
0x6f1	0x1d28	0x54d	0x54d
0x706	0x1d5b	0x21e	0x21e
0x72d	0x207e	0x21e	0x21e
0x751	0x215f	0x21e	0x21e
0x772	0x2184	0x21e	0x21e
0x796	0x2269	0x265	0x265
0x7ba	0x22fd	0x21e	0x21e
0x7db	0x2322	0x21e	0x21e
0x7f3	0x2347	0x265	0x265
0x814	0x23ca	0x2d4	0x2d4
0x829	0x2450	0x834	0x834
0x838	0x17f3	0x840	0x840
0x854	0xfdb	0x85d	0x85d
0x87b	0x138b	0x884	0x884
0xa18	0x2652	0xa23	0xa23
0xa23	0x273a	0xa2c	0xa2c
0xa2c	0x173f	0xa37	0xa37
