0xdef
0x132c
0x15c5
0x1ec6
0x1ed8
0x2960
0x301e
0x320b
0x34db
0x3b20
0x3b5f
0x3c25
0x3de8
0x3e0a
0x3e1a
0x3e2a
0x3e3a
0x3eca
0x3efd
0x3f10
0x3f2a
0x3f47
