0x1fa	0x1e4f53a
0x220	0x1fcc1d3
0x244	0x32f693f
0x277	0x950d515
0x28f	0xb26cf66
0x2b0	0x10775238
0x2e8	0x125e4cfb
0x312	0x16ef1913
0x333	0x194153d3
0x354	0x26aa101f
0x375	0x2803212f
0x399	0x351a8264
0x3d1	0x392e53cd
0x3e6	0x3a50bc87
0x40a	0x3e6968b6
0x41f	0x40f8dd86
0x440	0x437764df
0x472	0x59339982
0x48a	0x69ffa08a
0x4b1	0x6e5d6bea
0x4d2	0x7610722f
0x4f3	0x7837cf91
0x517	0x8190d906
0x538	0x871c0760
0x569	0x8da5cb5b
0x57e	0x9a4a4395
0x596	0x9cb7595a
0x5d7	0xa4b1c243
0x5f8	0xa4c0ed36
0x661	0xab3a25d9
0x685	0xad58bdd1
0x6af	0xb53472ef
0x6d0	0xbe3b625b
0x6e5	0xcd596583
0x6fa	0xd0342acd
0x721	0xdb6fff8c
0x745	0xe79767af
0x766	0xec47de2a
0x78a	0xf2c54fe8
0x7ae	0xf2fde38b
0x7cf	0xf3b83791
0x7e7	0xf3f51415
0x808	0xf9eaee0d
0x457b	0x00000000
