0xf8	0x1e33667
0x13d	0x4c2941a
0x180	0x13e7c9d8
0x1c7	0x2d345670
0x1fa	0x35bb3e16
0x22d	0x429b62e5
0x260	0x6d70f7ae
0x293	0x8da5cb5b
0x2c4	0x8f6f0332
0x401	0x946d9204
0x4c1	0xda3e3397
0x504	0xe348da13
0x537	0xf2fde38b
0x56a	0xf3fef3a3
0x5a3	0xfad8b32a
0x1b22	0x00000000
