0x40	0xf3fef3a3
0x0	0x80
0x1f	0xe348da13
0x2	0x40
0x5	0x4
0x9	0xec
0xd	0x0
0x10	0xe0
0x14	0x8da5cb5b
0x1a	0x8a
0x25	0x59
0x2a	0xe348da13
0x35	0xf2fde38b
0x4b	0xfad8b32a
0x55	0x1717
0x5b	0x8da5cb5b
0x66	0x8f6f0332
0x71	0x946d9204
0x7c	0xda3e3397
0x86	0x173b
0x8c	0x2d345670
0x92	0xc6
0x97	0x2d345670
0xa2	0x35bb3e16
0xad	0x429b62e5
0xb8	0x6d70f7ae
0xc2	0x175f
0xc8	0x1e33667
0xd3	0x4c2941a
0xde	0x13e7c9d8
0xe8	0x1783
0xee	0x17a7
0xfc	0x104
0x100	0x0
0x106	0x17cb
0x109	0x4
0x10e	0x60
0x113	0x11b
0x117	0x0
0x11d	0x1
0x11f	0x1
0x121	0xa0
0x123	0x10000000000000000000000000000000000000000
0x124	0xffffffffffffffffffffffffffffffffffffffff
0x12a	0x20
0x12d	0x24
0x133	0x40
0x135	0x44
0x137	0x5d6
0x141	0x149
0x145	0x0
0x14b	0x17ec
0x14e	0x4
0x153	0x60
0x158	0x160
0x15c	0x0
0x162	0x1
0x164	0x1
0x166	0xa0
0x168	0x10000000000000000000000000000000000000000
0x169	0xffffffffffffffffffffffffffffffffffffffff
0x16f	0x20
0x172	0x24
0x178	0x40
0x17a	0x44
0x17c	0x689
0x184	0x18c
0x188	0x0
0x18e	0x180d
0x191	0x4
0x196	0x20
0x19b	0x1a3
0x19f	0x0
0x1a6	0x1
0x1a8	0x1
0x1aa	0xa0
0x1ac	0x10000000000000000000000000000000000000000
0x1ad	0xffffffffffffffffffffffffffffffffffffffff
0x1af	0x860
0x1cb	0x1d3
0x1cf	0x0
0x1d5	0x1840
0x1d8	0x4
0x1dd	0x20
0x1e2	0x1ea
0x1e6	0x0
0x1ed	0x1
0x1ef	0x1
0x1f1	0xa0
0x1f3	0x10000000000000000000000000000000000000000
0x1f4	0xffffffffffffffffffffffffffffffffffffffff
0x1f6	0x875
0x1fe	0x206
0x202	0x0
0x208	0x1861
0x20b	0x4
0x210	0x20
0x215	0x21d
0x219	0x0
0x220	0x1
0x222	0x1
0x224	0xa0
0x226	0x10000000000000000000000000000000000000000
0x227	0xffffffffffffffffffffffffffffffffffffffff
0x229	0x93a
0x231	0x239
0x235	0x0
0x23b	0x1882
0x23e	0x4
0x243	0x20
0x248	0x250
0x24c	0x0
0x253	0x1
0x255	0x1
0x257	0xa0
0x259	0x10000000000000000000000000000000000000000
0x25a	0xffffffffffffffffffffffffffffffffffffffff
0x25c	0xa07
0x264	0x26c
0x268	0x0
0x26e	0x18b5
0x271	0x4
0x276	0x20
0x27b	0x283
0x27f	0x0
0x286	0x1
0x288	0x1
0x28a	0xa0
0x28c	0x10000000000000000000000000000000000000000
0x28d	0xffffffffffffffffffffffffffffffffffffffff
0x28f	0xa1c
0x297	0x29f
0x29b	0x0
