0x15c	0x7e922d
0x176	0x7da68f5
0x180	0xd70e7e3
0x1a3	0x13af4035
0x1c9	0x1b31f54a
0x1d1	0x2b3ba681
0x1f5	0x4076a009
0x229	0x61c2c9b1
0x231	0x75f12b21
0x24d	0x7a9e5e4b
0x273	0x7b103999
0x297	0x8418ffec
0x2f7	0x88525548
0x2ff	0x88d57d19
0x322	0x8da5cb5b
0x32a	0xa22709e4
0x332	0xaa62a812
0x33a	0xaf68dd3f
0x37d	0xb0243143
0x39a	0xbe9a6555
0x3a2	0xbf7e214f
0x3aa	0xc4d66de8
0x3d0	0xc924a43b
0x402	0xd6f22029
0x21cf	0x00000000
