0x12ae	0x140c
0x1476	0x16f2
0x1707	0x18d2
0x1f49	0x20dc
0x101f	0x267a
0x101f	0x269f
0x101f	0x26c4
0x101f	0x26e9
0x1113	0x12a60x1113
