0x1c4	0x158ef93e
0x1ed	0x15d11e81
0x220	0x329b62d9
0x392	0x379607f5
0x3af	0x3cc8f88e
0x3e8	0x481c6a75
0x419	0x485cc955
0x454	0x5c975abb
0x469	0x650c8c73
0x4cf	0x6869e1c6
0x552	0x6eaa795e
0x57e	0x7b637f42
0x600	0x8d1514a0
0x683	0x954ce692
0x6c8	0x9999ad0d
0x701	0xa4acb8c5
0x734	0xaa91f574
0x8df	0xb925c2f7
0x902	0xbc0f6491
0x917	0xbedb86fb
0x943	0xc100521c
0x958	0xc350a0d0
0x9c8	0xc56e3b00
0xa01	0xd0240ca5
0xa66	0xd3b0cb45
0xa99	0xe0b1541c
0xac5	0xf36b8d34
0xada	0xfb74e986
0x4a84	0x00000000
