0x1d0	0xb0d	0x433d	0x433d
0x1f9	0x210	0x4370	0x4370
0x22c	0x243	0x4391	0x4391
0x392	0x3a8	0x43b2	0x43b2
0x3bb	0x3d2	0x43d3	0x43d3
0x3f4	0x13f6	0x43f4	0x43f4
0x425	0x43c	0x442f	0x442f
0x460	0x14f2	0x4450	0x4450
0x475	0x48c	0x4483	0x4483
0x4cf	0x4e5	0x44cf	0x44cf
0x552	0x568	0x44f0	0x44f0
0x58a	0x5a1	0x4511	0x4511
0x600	0x616	0x4532	0x4532
0x68f	0x6a6	0x4553	0x4553
0x6d4	0x6eb	0x4584	0x4584
0x70d	0x724	0x45d0	0x45d0
0x740	0x758	0x45f1	0x45f1
0x8df	0x8f5	0x4612	0x4612
0x90e	0x275d	0x4633	0x4633
0x923	0x93a	0x4654	0x4654
0x94f	0x2862	0x4675	0x4675
0x964	0x97b	0x982	0x982
0x9d4	0x9eb	0x46b0	0x46b0
0xa0d	0xa24	0xa34	0xa34
0xa72	0xa89	0x46d1	0x46d1
0xa99	0xaaf	0x46f2	0x46f2
0xad1	0x31c5	0x4713	0x4713
0xae6	0xafd	0x4744	0x4744
0xb16	0x31e9	0xb1e	0xb1e
0xc90	0x324a	0xc98	0xc98
0xc98	0x32a1	0xca9	0xca9
0xcb4	0x35de	0xcbc	0xcbc
0xcbc	0x362d	0xcc7	0xcc7
0x1625	0x38cf	0x164f	0x164f
0x16ad	0x3932	0x16fd	0x16fd
0x16ad	0x3932	0x47f5	0x16fd
0x16ad	0x3932	0x481a	0x16fd
0x17ae	0x35de	0x17bb	0x17bb
0x18a2	0x362d	0x18ae	0x18ae
0x18ae	0x3a4f	0x18b8	0x18b8
0x1cb7	0x3c1c	0x1cc1	0x1cc1
0x1cc1	0x362d	0x1ccc	0x1ccc
0x1e38	0x324a	0x1e40	0x1e40
0x1fcb	0x35de	0x1fd8	0x1fd8
0x20bf	0x362d	0x20cb	0x20cb
0x2448	0x38cf	0x2472	0x2472
0x24ce	0x3932	0x2512	0x2512
0x24ce	0x3932	0x48e2	0x2512
0x24ce	0x3932	0x4907	0x2512
0x2522	0x324a	0x252a	0x252a
0x2590	0x324a	0x2598	0x2598
0x265b	0x32a1	0x266c	0x266c
0x266c	0x3d4c	0x267b	0x267b
0x26d2	0x35de	0x26df	0x26df
0x26df	0x362d	0x26ea	0x26ea
0x26ea	0x3a4f	0x26f4	0x26f4
0x275d	0x31e9	0x2765	0x2765
0x2840	0x324a	0x2848	0x2848
0x2bd5	0x324a	0x2bdd	0x2bdd
0x3001	0x3c1c	0x300b	0x300b
0x300b	0x362d	0x3016	0x3016
0x3793	0x38cf	0x37a0	0x37a0
0x3886	0x38cf	0x38b0	0x38b0
0x3ca4	0x3932	0x3cd4	0x3cd4
0x3ca4	0x3932	0x49fa	0x3cd4
0x3ca4	0x3932	0x4a1f	0x3cd4
0x3cd4	0x38cf	0x3cff	0x3cff
