0xb2a
0xb55
0x10a2
0x10d2
0x10f1
0x110d
0x127d
0x18b8
0x1ac5
0x266d
0x2a8a
0x2aed
0x3c99S0x348d
0x3c9dS0x348d
0x3d4aS0x348d
0x3d66S0x348d
0x3c75S0x348d
0x3d56S0x348d
0x3c99S0x3835S0x2221
0x3c9dS0x3835S0x2221
0x3d4aS0x3835S0x2221
0x3d66S0x3835S0x2221
0x3c75S0x3835S0x2221
0x3d56S0x3835S0x2221
