0x1a	0xab
0x25	0x6f
0xb3	0xf2
0x133	0x13b
0x13d	0x14f0x12f
0x140	0x14a
0x168	0x170
0x172	0x221c
0x18a	0x192
0x194	0x2248
0x197	0x1a1
0x1ac	0x1b4
0x1b6	0x2269
0x1b9	0x1c3
0x1e1	0x22a0
0x1e4	0x1ee
0x1f7	0x1ff
0x20e	0x15b0x1f3
0x213	0x22c1
0x216	0x220
0x229	0x231
0x233	0x22e2
0x236	0x240
0x241	0x878
0x246	0x230f
0x249	0x253
0x25c	0x264
0x266	0x14f0x258
0x269	0x273
0x27c	0x284
0x286	0x2330
0x289	0x293
0x294	0xa47
0x29c	0x2a4
0x2a6	0x235d
0x2a9	0x2b3
0x2bc	0x2c4
0x2c6	0x2394
0x2c9	0x2d3
0x2f2	0x2fa
0x308	0x23c1
0x310	0x318
0x31a	0x23f8
0x325	0x32d
0x32f	0x14f0x321
0x332	0x33c
0x345	0x34d
0x34f	0x2424
0x352	0x35c
0x35d	0xbef
0x362	0x2445
0x365	0x36f
0x378	0x380
0x382	0x2466
0x385	0x38f
0x398	0x3a0
0x3a2	0x14f0x394
0x3a5	0x3af0x394
0x3ab	0x19fe
0x3e1	0x3e9
0x3eb	0x2492
0x3ee	0x3f8
0x3f9	0xe12
0x415	0x42e
0x430	0x449
0x44b	0x24b3
0x471	0x24d8
0x6b5	0x715
0x711	0x1ef0
0x894	0x8f3
0x8ef	0x1f68
0xa4a	0xa52
0xa55	0xab5
0xab1	0x1f90
0xabd	0xad6
0xb02	0x2656
0xb5b	0x1fb8
0xb66	0x267b
0xbfd	0xc48
0xc44	0x1fe0
0xd19	0xd74
0xd70	0x2008
0xd85	0xd8d
0xdb1	0xdb9
0xdbc	0x26ee
0xdc4	0xddb
0xdd7	0x2719
0xdf9	0xde9
0xe21	0xe3c
0xe34	0x2744
0xe47	0xea0
0xe9c	0x2030
0xeab	0xebc
0xf9a	0xffa
0xff6	0x2058
0xffd	0x1005
0x101e	0x1040
0x102d	0x1035
0x1042	0x276c
0x1070	0x2793
0x107f	0x1087
0x1092	0x10ef
0x10eb	0x2080
0x10fa	0x1151
0x114d	0x20a8
0x1152	0x115c
0x115d	0x1167
0x1186	0x1190
0x11b4	0x11be
0x1220	0x1229
0x122a	0x1245
0x123d	0x27ba
0x1246	0x1250
0x1251	0x125c
0x125d	0x27e2
0x1270	0x2807
0x1283	0x12d3
0x1287	0x12ce
0x12cf	0x12f6
0x12e9	0x12f6
0x12ed	0x12f6
0x12f2	0x151d
0x1301	0x130d
0x1305	0x282f
0x1309	0x15c8
0x1323	0x2853
0x1422	0x1515
0x1444	0x1457
0x1469	0x1471
0x147b	0x14a1
0x1493	0x149e
0x14a2	0x14fb
0x14aa	0x14cf
0x14cb	0x14d4
0x14d8	0x14f3
0x14eb	0x289b
0x1511	0x28c3
0x1519	0x28ea
0x1537	0x1542
0x1558	0x1595
0x15cf	0x15da
0x15f7	0x1610
0x1626	0x163f
0x166c	0x1685
0x1a09	0x1a10
0x1a11	0x1a19
0x1a1c	0x1a27
0x1dcf	0x1dda
0x1dd6	0x21b2
0x1de6	0x1df1
0x1ded	0x21e7
0x1e00	0x1e0a
0x1e12	0x1e2b
0x2220	0x15b0x164
0x227d	0x15b0x1a8
0x22ec	0x15b0x225
0x233a	0x15b0x278
0x2371	0x15b0x298
0x239e	0x15b0x2b8
0x23d5	0x15b0x2ee
0x23fc	0x15b0x30c
0x246a	0x15b0x374
0x24fc	0x4a50x46a
0x269f	0x4a50xb5f
0x2a60	0x2a8c
0x2a62	0x2abc
0x2a64	0x2abf
0x2a66	0x2ac2
0x2a68	0x2ac5
0x2a6a	0x2ac8
0x2a6c	0x2acb
0x2a6e	0x2aad
0x2a70	0x2ab0
