0x14a	0x3fd	0x14f0x12f
0x170	0x46a	0x221c
0x46a	0x1df6	0x24d8
0x1c3	0x69c	0x2269
0x2b3	0xae8	0x235d
0x318	0xb5f	0x23f8
0xb5f	0x1df6	0x267b
0x38f	0xcfd	0x2466
0x24d8	0x1df6	0x4a50x46a
0x267b	0x1df6	0x4a50xb5f
0xd74	0x1df6	0xd8d
0xd8d	0x1df6	0xdb9
0xffa	0xae8	0x1005
0x1151	0x1278	0x115c
0x1167	0x1ddf	0x1190
0x1190	0x1dc7	0x11be
0x1245	0x1074	0x1250
0x1250	0x141c	0x125c
0x1074	0xae8	0x1087
0x151d	0x1ddf	0x1542
0x15c8	0x1ddf	0x15da
0x121f	0xf81	0x1229
0x1022	0x69c	0x1035
0x91cB0x253	0x121f	0x260aB0x253
0xcb4B0x36f	0x121f	0xcf6B0x36f
0xf13B0x115c	0xae8	0xf48B0x115c
0x731B0x1ee	0xae8	0x73cB0x1ee
0xf13B0x838B0x1ee	0xae8	0xf48B0x838B0x1ee
0x847B0x220	0xf81	0x851B0x220
0x86dB0x220	0x1074	0x25e6B0x220
0x1822B0x612B0x1a1	0x1df6	0x182eB0x612B0x1a1
0x1822B0x625B0x1a1	0x1df6	0x182eB0x625B0x1a1
0x962B0x273	0xae8	0x96dB0x273
0x96dB0x273	0x1278	0x97bB0x273
0x986B0x273	0x1df6	0x99fB0x273
0x9bdB0x273	0x1ddf	0x9e6B0x273
0xf13B0x97bB0x273	0xae8	0xf48B0x97bB0x273
0x18a6B0x9a7B0x273	0x1df6	0x18b2B0x9a7B0x273
0x16abB0x1364B0xb99B0x33c	0x141c	0x16b8B0x1364B0xb99B0x33c
0x178fB0x1364B0xb99B0x33c	0x1278	0x179bB0x1364B0xb99B0x33c
0x179bB0x1364B0xb99B0x33c	0x1dc7	0x17c4B0x1364B0xb99B0x33c
0x1822B0x13fdB0xba3B0x33c	0x1df6	0x182eB0x13fdB0xba3B0x33c
