0x0	0xd
0x3f	0x4a
0xd	0x1e
0x231	0x2530x1ff
0x4e	0xb6c
0x6de	0x6ef
0x217	0x231
0x396	0x3b0
0x5e9	0x5ee
0x6fb	0x714
0x717	0x727
0x72a	0x735
0x738	0x746
0x65	0x6d
0x98	0xa0
0xc9	0xd1
0xe9	0xf1
0x3fa	0x424
0x1e	0x29
0x29	0x34
0x34	0x3f
0x4a10x0	0x4bc0x0
0x4a10x1ff	0x4bc0x1ff
0x4a10x37e	0x4bc0x37e
0x4a10xb6e	0x4bc0xb6e
0x138B0x80	0x162B0x80
0x4a10x138B0x80	0x4bc0x138B0x80
0x28fB0xe4	0x29dB0xe4
0x29dB0xe4	0x3060x265B0xe4
0x265B0xe4	0x28fB0xe4
0x4a10x265B0xe4	0x4bc0x265B0xe4
0x3f0B0x5e0	0x3f50x3f0B0x5e0
0x6adB0x6f2	0x6c0B0x6f2
0x6c4B0x71	0x6d2B0x71
0x6adB0x6d5B0x71	0x6c0B0x6d5B0x71
0x6c4B0xd5	0x6d2B0xd5
0x6adB0x6d5B0xd5	0x6c0B0x6d5B0xd5
0x17aB0x93	0x1a4B0x93
0x4a10x17aB0x93	0x4bc0x17aB0x93
0x510B0x3c4B0x1acB0x93	0x515B0x3c4B0x1acB0x93
0x586B0x3c4B0x1acB0x93	0x5a0B0x3c4B0x1acB0x93
0x5c1B0x3c4B0x1acB0x93	0x5c6B0x3c4B0x1acB0x93
0x3f0B0x505B0x3c4B0x1acB0x93	0x3f50x3f0B0x505B0x3c4B0x1acB0x93
0x7cfB0x75cB0x3c4B0x1acB0x93	0x7d5B0x75cB0x3c4B0x1acB0x93
0x7abB0x75cB0x3c4B0x1acB0x93	0x7aeB0x75cB0x3c4B0x1acB0x93
0x7c6B0x75cB0x3c4B0x1acB0x93	0x7cfB0x75cB0x3c4B0x1acB0x93
0x7aeB0x75cB0x3c4B0x1acB0x93	0x7b7B0x75cB0x3c4B0x1acB0x93
0x674B0x5c6B0x3c4B0x1acB0x93	0x67dB0x5c6B0x3c4B0x1acB0x93
0x683B0x5c6B0x3c4B0x1acB0x93	0x68bB0x5c6B0x3c4B0x1acB0x93
0x7cfB0x778B0x5c6B0x3c4B0x1acB0x93	0x7d5B0x778B0x5c6B0x3c4B0x1acB0x93
0x7abB0x778B0x5c6B0x3c4B0x1acB0x93	0x7aeB0x778B0x5c6B0x3c4B0x1acB0x93
0x7c6B0x778B0x5c6B0x3c4B0x1acB0x93	0x7cfB0x778B0x5c6B0x3c4B0x1acB0x93
0x7aeB0x778B0x5c6B0x3c4B0x1acB0x93	0x7b7B0x778B0x5c6B0x3c4B0x1acB0x93
