0xb6c	0xb6e
0xa4	0x1ff
0xf5	0x37e
0xb6f	0x65
0xb72	0x85
0xb75	0x98
0xb78	0xc9
0xb7b	0xe9
0xfe0x0	0x3fa
0xfe0x1ff	0x3fa
0xfe0x37e	0x3fa
0xfe0xb6e	0x3fa
0x162B0x80	0x4c5
0xfe0x138B0x80	0x3fa
0xfe0x265B0xe4	0x3fa
0x1a4B0x93	0x4c5
0xfe0x17aB0x93	0x3fa
