0x9df	0xa5b
0xc78	0xdca
0x13a2	0x13af
0x17f4	0x1851
0x18ec	0x1ad7
0x1eda	0x1f6f
0x204d	0x205c
0x2063	0x2072
0x207a	0x222a
0x22bb	0x22bb
0x90e	0x29d1
0x12a2	0x29f5
0x16e6	0x2a19
0x18aa	0x2aaf
0x1b2f	0x2ad5
0x1ba2	0x2afb
0x1c34	0x2b1f
0x1c82	0x2b43
0x1c82	0x2b67
0x1f75	0x2bfd
0x1f75	0x2c21
0x204d	0x2c45
0x223b	0x2c6b
0x1c34	0x5b90x1c34
0x920	0x9dc0x920
0xdf1	0x9dc0xdf1
0x17f4	0x9dc0x17f4
0x12af	0x12e00x12af
0x1b2f	0x12e00x1b2f
0x179d	0x2a890x179d
0x1d36	0x2bd70x1d36
