0xc51	balanceOf(address)
0x22c9S0x10d7	mint(address,uint256)
0x235dS0x10d7	transfer(address,uint256)
0x22c9S0x190e	mint(address,uint256)
0x235dS0x190e	transfer(address,uint256)
0x2cffS0x2afeS0x25aaS0x1f71B0xce8	transfer(address,uint256)
0x2cffS0x2afeS0x25aaS0x23ebB0x18ed	transferFrom(address,address,uint256)
