0x1a8	0x13f43a57
0x1c2	0x1694e8b1
0x1ca	0x320d4534
0x1e9	0x34a02c74
0x222	0x35c7e03f
0x302	0x3aa407ee
0x335	0x55111a59
0x366	0x5f75076d
0x399	0x66d0ee19
0x3b6	0x715018a6
0x3be	0x796921b3
0x4fd	0x830ceda6
0x505	0x8da5cb5b
0x50d	0x9ba3c1d6
0x5b0	0xa72c2254
0x653	0xaf6caba8
0x676	0xb02420dd
0x67e	0xb29414f7
0x74a	0xbc90763d
0x800	0xc0c53b8b
0x845	0xc5dca648
0x84d	0xd6239dd0
0x86a	0xd8927e25
0x872	0xef65c8f5
0x87a	0xf2fde38b
0x2f6d	0x00000000
