0xab8	0x1c4f	0xac3
0x731	0x1736	0x73e
0x6f0	0x164a	0x6f70x2b4
0x296d	0x164a	0x7ae
0x788	0x19f6	0x296d
0x2991	0x164a	0x6f70x3c4
0x916	0x1a8d	0x920
0xb02	0x1c0d	0xb11
0x2a73	0x164a	0x6f70x520
0xfb2	0x19f6	0x2a73
0xff0	0x1736	0x6f70x54c
0x17b0	0x158c	0x17c7
0x17c7	0x19f6	0x1806
0x1933	0x158c	0x1951
0x1951	0x1c0d	0x1957
0x1af4	0x158c	0x1b0b
0x237	0x64d	0x23f0x237
0x518	0xf1a	0x23f0x518
0x578	0xff7	0x23f0x578
0x590	0x1091	0x23f0x590
0x9550x45b	0x1c0d	0x29b50x45b
0x955B0x189c	0x1c0d	0x29b50x955B0x189c
0x1c77B0xac3	0x19f6	0x2c7dB0xac3
0x7eeB0x10f9	0x64d	0x81aB0x10f9
0x7eeB0x3bc	0x64d	0x81aB0x3bc
0xcb7B0x4da	0x1a8d	0xcd9B0x4da
0x14b2B0xc5fB0x4da	0x1cd5	0x14baB0xc5fB0x4da
0x1563B0xc67B0x4da	0x1cd5	0x156bB0xc67B0x4da
