0x7ee	0x81a
0xbd2	0xe3b
0xefc	0xefc
0x14d6	0x1587
0x1646	0x1646
0x164a	0x16d4
0x1736	0x19a4
0x19f6	0x1a85
0x1a8d	0x1bc4
0x1c4f	0x1c70
0x1cb9	0x1cb9
0x1cd5	0x1d68
0x1d75	0x1e61
0x1e6e	0x1f37
0x64d	0x291b
0x64d	0x2944
0xbd2	0x29ff
0xf1a	0x2a21
0xf1a	0x2a4a
0xff7	0x2a97
0xff7	0x2abe
0x1091	0x2ae5
0x1091	0x2b0c
0x14d6	0x2b55
0x158c	0x2b79
0x158c	0x2b9e
0x15ec	0x2bc4
0x2bea	0x2bea
0x2c0e	0x2c0e
0x1c0d	0x2c32
0x1c4f	0x2c58
0x1c77	0x2c7d
0x1cd5	0x2ca3
0x1d75	0x2cc5
0x1e6e	0x2ce7
0x1fab	0x2d0b
0x2029	0x2d2e
0x64d	0x6d90x64d
0xf1a	0x6d90xf1a
0xff7	0x107d0xff7
0x1091	0x107d0x1091
0x1425	0x14c90x1425
0x1cd5	0x14c90x1cd5
0x955	0x29b50x955
0x1425	0x2b330x1425
0x1cd5	0x2b330x1cd5
