0x1ea	0x6fdde03
0x267	0x95ea7b3
0x2a7	0x18160ddd
0x2c1	0x23b872dd
0x2f7	0x240aef7a
0x32f	0x248a9ca3
0x34c	0x2f2ff15d
0x378	0x313ce567
0x396	0x3644e515
0x39e	0x36568abe
0x3ca	0x39509351
0x3f6	0x3f4ba83a
0x3fe	0x4000aea0
0x4b9	0x42966c68
0x4d6	0x5c975abb
0x4de	0x70a08231
0x504	0x75b238fc
0x50c	0x79cc6790
0x538	0x7ecebe00
0x55e	0x8456cb59
0x566	0x9010d07c
0x5a5	0x91d14854
0x5d1	0x95d89b41
0x5d9	0xa217fddf
0x5e1	0xa457c2d7
0x60d	0xa9059cbb
0x639	0xc4d66de8
0x65f	0xca15c873
0x67c	0xd505accf
0x6cd	0xd547741f
0x6f9	0xdd62ed3e
0x271e	0x00000000
