0x19	0x350	0x3c	0x3c
0x36c	0x333	0x377	0x377
0x377	0x333	0x387	0x387
0x387	0x333	0x397	0x397
0x397	0x333	0x3a7	0x3a7
0x3a7	0x333	0x3b7	0x3b7
0x3b7	0x333	0x3c7	0x3c7
0x3c7	0x333	0x3d7	0x3d7
