0xc5f
0x10c7
0x11b1
0x11c4
0x11ea
0x11f7
0x15bf
0x1a51
0x1aa6
0x1ad1
0x1ade
0x1e41
0x1f45
0x218d
0x23e4
0x23f1
0x243d
0x2532
0x2892
0x289e
0x31b2
0x3216
0x33ca
