0xfb6
0xfe6
0x1005
0x1021
0x1191
0x16f6
0x1887
0x21ec
0x2267
0x262c
0x268f
0x3842S0x3036
0x3846S0x3036
0x38f3S0x3036
0x390fS0x3036
0x381eS0x3036
0x38ffS0x3036
0x14faS0x751
0x3842S0x33deS0x1e0b
0x3846S0x33deS0x1e0b
0x38f3S0x33deS0x1e0b
0x390fS0x33deS0x1e0b
0x381eS0x33deS0x1e0b
0x38ffS0x33deS0x1e0b
