0x0	__function_selector__
0x27f	name()
0x309	approve(address,uint256)
0x356	totalSupply()
0x37d	getAvailableKncBalanceTwei()
0x392	transferFrom(address,address,uint256)
0x3d5	claimReward(uint256,uint256,address[],uint256[],bytes32[],uint256[])
0x54c	decimals()
0x577	increaseAllowance(address,uint256)
0x5b0	mandate()
0x5c5	unpause()
0x5da	initialize(string,string,address,address,address,address,uint256,uint256,uint256)
0x745	withdrawFees()
0x75a	approveKyberProxyContract(address,bool)
0x795	paused()
0x7aa	feeDivisors()
0x7dd	balanceOf(address)
0x810	renounceOwnership()
0x825	getFeeRate(uint8)
0x852	pause()
0x867	setManager2(address)
0x89a	owner()
0x8cb	getFundEthBalanceWei()
0x8e0	symbol()
0x8f5	lastLockedBlock(address)
0x928	mint(uint256)
0x945	decreaseAllowance(address,uint256)
0x97e	transfer(address,uint256)
0x9b7	getFundKncBalanceTwei()
0x9cc	vote(uint256,uint256)
0x9fc	mintWithToken(uint256)
0xa26	migrateV3(address,address,address,address)
0xa71	getRewardDistributor()
0xa86	setManager(address)
0xab9	setRewardsDistributor(address)
0xaec	allowance(address,address)
0xb27	burn(uint256,bool,uint256)
0xb5f	setFeeDivisors(uint256,uint256,uint256)
0xb95	transferOwnership(address)
0xbc8	0xbc8
0xc7d	0xc7d
0xc83	0xc83
0x1243	0x1243
0x12d2	0x12d2
0x14be	0x14be
0x169b	0x169b
0x175c	0x175c
0x17b7	0x17b7
0x18c6	0x18c6
0x18d5	0x18d5
0x18ed	0x18ed
0x1ba3	0x1ba3
0x274c	0x274c
0x2750	0x2750
0x283c	0x283c
0x290d	0x290d
0x2a30	0x2a30
0x2a7f	0x2a7f
0x2ae1	0x2ae1
0x2bd9	0x2bd9
0x2bdf	0x2bdf
0x2c81	0x2c81
0x2d7a	0x2d7a
0x2e28	0x2e28
0x2f00	0x2f00
0x3036	0x3036
0x3088	0x3088
0x3175	0x3175
0x3195	0x3195
0x31e4	0x31e4
0x3235	0x3235
0x3333	0x3333
0x33ca	0x33ca
0x33de	0x33de
0x3438	0x3438
0x3486	0x3486
0x34df	0x34df
0x3629	0x3629
0x3792	0x3792
0x39af	0x39af
0x39e8	0x39e8
0x3a66	0x3a66
0x4b61	0x4b61
0x4c1b	0x4c1b
0x4c3f	0x4c3f
0x4d49	()
0x4d49	fallback()
