0xae	0x39af9eb
0xdd	0xc340a24
0x101	0xce7dc4a
0x126	0x4cf088d9
0x12e	0x8ddb2864
0x154	0x96b55f7d
0x15c	0xa13a7350
0x1cc	0xc4d66de8
0x1f2	0xe3056a34
0x1fa	0xe58bb639
0x202	0xf235757f
0xbe3	0x00000000
