0xe2e	0xbe3
0xe1c	0x154
0xe1f	0x15c
0xe22	0x1cc
0xe25	0x1f2
0xe28	0x1fa
0xe2b	0x202
0xe0d	0xae
0xe10	0xdd
0xe13	0x101
0xe16	0x126
0xe19	0x12e
