0x8c4	token()
0xb26	balanceOf(address)
0xb97	totalSupply()
0xd49	totalSupply()
0xf2c	quotas(address)
0x1257	transfer(address,uint256)
0x6f70x2a3	quotas(address)
0x6730x2a3	balanceOf(address)
0x1429S0xc2f	transferFrom(address,address,uint256)
0x6730x61cS0xd70	balanceOf(address)
0x6f70x61cS0xd70	quotas(address)
