0xacf	0xbc6
0x109c	0x10b2
0x11a7	0x130a
0x1311	0x1311
0x1371	0x14c6
0x19ef	0x19ef
0x106c	0x215b
0x217c	0x217c
0x109c	0x219d
0x1317	0x2232
0x61c	0x72f0x61c
0xa13	0x72f0xa13
0xe77	0x72f0xe77
0x1048	0x72f0x1048
0x10c3	0x93f0x10c3
0xd86	0xe690xd86
0xd86	0x20c90xd86
0x10c3	0x21c00x10c3
0x1123	0x21e60x1123
0x1165	0x220c0x1165
