0x1458	burnFrom(address,uint256)
0x1699	totalSupply()
0x1d07	mint(address,uint256)
0x213f	twapDollarPrice(address,uint256)
0x22ff	consultDollarPrice(address,uint256)
0x2621	updateCumulative()
0x80d0x1719	epoch()
0x80d0x79fS0x2f9	nextEpochLength()
0x80d0x2047S0x777	nextEpochPoint()
0x29c1S0x283fS0x2767S0x24eaS0xf94	transfer(address,uint256)
