0xb4a
0x1052
0x107f
0x109a
0x10c6
0x10de
0x1114
0x1141
0x115c
0x1188
0x11a0
0x19cc
0x19d2
0x19de
0x19e4
0x1a06
0x1a35
0x1a72
0x1f32
0x1f5e
0x14e7S0xb27
