0x15d	0x1ffc9a7
0x198	0x6fdde03
0x215	0x81812fc
0x24e	0x95ea7b3
0x27c	0xb26cf66
0x2a2	0x162094c4
0x319	0x18160ddd
0x333	0x23b872dd
0x369	0x2f745c59
0x395	0x40c10f19
0x3c1	0x42842e0e
0x3f7	0x42966c68
0x414	0x4f6ccce7
0x431	0x55f804b3
0x4a1	0x6352211e
0x4be	0x6c0360eb
0x4c6	0x70a08231
0x4ec	0x859ba28c
0x520	0x95d89b41
0x528	0xa22cb465
0x556	0xb88d4fde
0x61c	0xc87b56dd
0x639	0xcd596583
0x641	0xe985e9c5
0x23b6	0x00000000
