0xa7d	0xa89
0x11bc	0x11bc
0x11f7	0x11f7
0x11fb	0x1230
0x137b	0x1480
0x15ba	0x15c9
0x1652	0x1724
0x1972	0x1ab9
0x1ada	0x1ada
0x1e9b	0x1e9b
0x6ef	0x276b
0x6ef	0x2794
0xc93	0x28da
0xc93	0x2903
0xd66	0x2951
0xd66	0x297a
0x11ea	0x2a10
0x1269	0x2a35
0x12cc	0x2a59
0x12d7	0x2a7e
0x12d7	0x2aa5
0x2acc	0x2acc
0x14d3	0x2af0
0x2b13	0x2b13
0x15d6	0x2b37
0x1600	0x2b5a
0x1652	0x2b7f
0x17cf	0x2ba3
0x1972	0x2bc7
0x1af2	0x2bee
0x1bb8	0x2c38
0x1bb8	0x2c5d
0x1c02	0x2c82
0x1c02	0x2ca8
0x2cce	0x2cce
0x1dc7	0x2cf2
0x1fc7	0x2d17
0x202d	0x2d3d
0x20b9	0x2d60
0x20b9	0x2d82
0x6ef	0x77b0x6ef
0xc93	0x77b0xc93
0xd66	0x77b0xd66
0x14c7	0xb0a0x14c7
0x172d	0xb0a0x172d
0x173d	0xb0a0x173d
0x1749	0xb0a0x1749
0x1821	0xb0a0x1821
0x15e9	0x15f90x15e9
0x1755	0x15f90x1755
0xc6b	0x28b50xc6b
0xecc	0x29a30xecc
0x1af2	0x2c130x1af2
0x1dc7	0x2c130x1dc7
0x20f9	0x2da40x20f9
